time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,label
1.72986E+12,2:19:20 PM,1758733.031,220100.5,7014.65625,16872415232,5629444096,66.6,normal
1.72986E+12,2:19:21 PM,1758740.875,220100.5938,7014.65625,16872415232,5629751296,66.6,normal
1.72986E+12,2:19:22 PM,1758748.969,220100.6094,7014.65625,16872415232,5632212992,66.6,normal
1.72986E+12,2:19:23 PM,1758756.734,220100.7344,7014.671875,16872415232,5632393216,66.6,normal
1.72986E+12,2:19:24 PM,1758764.609,220100.8281,7014.6875,16872415232,5633630208,66.6,normal
1.72986E+12,2:19:25 PM,1758772.609,220100.8906,7014.6875,16872415232,5634121728,66.6,normal
1.72986E+12,2:19:26 PM,1758780.109,220101.3438,7014.6875,16872415232,5632221184,66.6,normal
1.72986E+12,2:19:27 PM,1758786.969,220102.4219,7014.703125,16872415232,5630595072,66.6,normal
1.72986E+12,2:19:28 PM,1758795,220102.4844,7014.703125,16872415232,5632946176,66.6,normal
1.72986E+12,2:19:29 PM,1758802.969,220102.5938,7014.71875,16872415232,5633261568,66.6,normal
1.72986E+12,2:19:30 PM,1758810.844,220102.6406,7014.71875,16872415232,5633298432,66.6,normal
1.72986E+12,2:19:31 PM,1758817.719,220103.6094,7014.75,16872415232,5552287744,67.1,normal
1.72986E+12,2:19:32 PM,1758825.063,220104.2188,7014.75,16872415232,5559967744,67,normal
1.72986E+12,2:19:33 PM,1758833.063,220104.3125,7014.75,16872415232,5560102912,67,normal
1.72986E+12,2:19:34 PM,1758840.859,220104.4375,7014.75,16872415232,5561843712,67,normal
1.72986E+12,2:19:35 PM,1758848.828,220104.5625,7014.75,16872415232,5561655296,67,normal
1.72986E+12,2:19:36 PM,1758855.609,220105.7031,7014.765625,16872415232,5545107456,67.1,normal
1.72986E+12,2:19:37 PM,1758863.391,220106,7014.78125,16872415232,5545222144,67.1,normal
1.72986E+12,2:19:38 PM,1758871.266,220106.0938,7014.796875,16872415232,5545390080,67.1,normal
1.72986E+12,2:19:39 PM,1758879.125,220106.1875,7014.8125,16872415232,5545500672,67.1,normal
1.72986E+12,2:19:40 PM,1758887.141,220106.2656,7014.8125,16872415232,5548118016,67.1,normal
1.72986E+12,2:19:41 PM,1758894.969,220106.3906,7014.8125,16872415232,5551374336,67.1,normal
1.72986E+12,2:19:42 PM,1758902.75,220106.5625,7014.84375,16872415232,5551394816,67.1,normal
1.72986E+12,2:19:43 PM,1758910.75,220106.6094,7014.84375,16872415232,5548498944,67.1,normal
1.72986E+12,2:19:44 PM,1758918.828,220106.6563,7014.84375,16872415232,5551325184,67.1,normal
1.72986E+12,2:19:45 PM,1758925.578,220107.7656,7014.859375,16872415232,5552287744,67.1,normal
1.72986E+12,2:19:46 PM,1758933.25,220107.9375,7014.890625,16872415232,5554855936,67.1,normal
1.72986E+12,2:19:47 PM,1758941.188,220108.0625,7014.890625,16872415232,5555171328,67.1,normal
1.72986E+12,2:19:48 PM,1758949.141,220108.1875,7014.890625,16872415232,5555294208,67.1,normal
1.72986E+12,2:19:49 PM,1758956.781,220108.2813,7014.9375,16872415232,5552865280,67.1,normal
1.72986E+12,2:19:50 PM,1758964.859,220108.2813,7014.9375,16872415232,5552898048,67.1,normal
1.72986E+12,2:19:51 PM,1758972.594,220108.4063,7014.9375,16872415232,5553500160,67.1,normal
1.72986E+12,2:19:52 PM,1758980.453,220108.5625,7014.9375,16872415232,5563318272,67,normal
1.72986E+12,2:19:53 PM,1758988.406,220108.6406,7014.9375,16872415232,5563944960,67,normal
1.72986E+12,2:19:54 PM,1758996.266,220108.75,7014.953125,16872415232,5553344512,67.1,normal
1.72986E+12,2:19:55 PM,1759004.203,220108.7813,7014.953125,16872415232,5553729536,67.1,normal
1.72986E+12,2:19:56 PM,1759012.25,220108.8438,7014.953125,16872415232,5553737728,67.1,normal
1.72986E+12,2:19:57 PM,1759019.938,220109.0781,7014.953125,16872415232,5557059584,67.1,normal
1.72986E+12,2:19:58 PM,1759026.922,220110.0781,7014.984375,16872415232,5566140416,67,normal
1.72986E+12,2:19:59 PM,1759034.703,220110.3594,7014.984375,16872415232,5566332928,67,normal
1.72986E+12,2:20:00 PM,1759042.141,220110.6406,7015,16872415232,5554589696,67.1,normal
1.72986E+12,2:20:01 PM,1759050.047,220110.75,7015.03125,16872415232,5557301248,67.1,normal
1.72986E+12,2:20:02 PM,1759056.875,220111.9063,7015.03125,16872415232,5441265664,67.8,normal
1.72986E+12,2:20:03 PM,1759064.234,220112.4688,7015.046875,16872415232,5412990976,67.9,normal
1.72986E+12,2:20:04 PM,1759072,220112.6406,7015.046875,16872415232,5409779712,67.9,normal
1.72986E+12,2:20:05 PM,1759079.969,220112.75,7015.046875,16872415232,5409869824,67.9,normal
1.72986E+12,2:20:06 PM,1759087.906,220112.8438,7015.046875,16872415232,5409955840,67.9,normal
1.72986E+12,2:20:07 PM,1759095.672,220113,7015.046875,16872415232,5410041856,67.9,normal
1.72986E+12,2:20:08 PM,1759103.531,220113.1719,7015.046875,16872415232,5423902720,67.9,normal
1.72986E+12,2:20:09 PM,1759111.406,220113.3125,7015.078125,16872415232,5424390144,67.9,normal
1.72986E+12,2:20:10 PM,1759118.656,220113.9688,7015.09375,16872415232,5457780736,67.7,normal
1.72986E+12,2:20:11 PM,1759125.531,220115.0313,7015.109375,16872415232,5446504448,67.7,normal
1.72986E+12,2:20:12 PM,1759133.484,220115.1719,7015.109375,16872415232,5446750208,67.7,normal
1.72986E+12,2:20:13 PM,1759141.469,220115.2813,7015.109375,16872415232,5446848512,67.7,normal
